A2M 	The a2 Milk Company 	Consumer Staples 
NEC 	Nine Entertainment 	Communication Services 
NHC 	New Hope Corporation 	Energy 
NHF 	Nib 	Financials 
NIC 	Nickel Industries Limited 	Materials 
NSR 	National Storage 	Real Estate 
NST 	Northern Star Resources 	Materials 
NUF 	Nufarm 	Materials 
NVX 	Novonix 	Information Technology 
NWL 	Netwealth Group 	Financials 
NWS 	News Corp Class B 	Communication Services 
NXT 	NextDC 	Information Technology 
ORA 	Orora 	Materials 
ORG 	Origin Energy 	Utilities 
ORI 	Orica 	Materials 
OZL 	Oz Minerals 	Materials 
PBH 	Pointsbet Holdings 	Consumer Discretionary 
PDL 	Pendal Group 	Financials 
PDN 	Paladin Energy 	Energy 
PLS 	Pilbara Minerals 	Materials 
PME 	Pro Medicus 	Healthcare 
PMV 	Premier Investments 	Consumer Discretionary 
PNI 	Pinnacle Investment Management 	Financials 
PPT 	Perpetual 	Financials 
PRU 	Perseus Mining 	Materials 
QAN     Qantas 	Industrials
QBE 	QBE Insurance 	Financials 
QUB 	Qube Holdings 	Industrials 
REA 	REA Group 	Communication Services 
REH 	Reece Group 	Industrials 
RHC 	Ramsay Health Care 	Healthcare 
RIO 	Rio Tinto 	Materials 
RMD 	ResMed 	Healthcare 
RMS 	Ramelius Resources 	Materials 
RRL 	Regis Resources 	Materials 
RWC 	Reliance Worldwide Corporation 	Industrials 
S32 	South32 	Materials 
SBM 	St Barbara 	Materials 
SCG 	Scentre Group 	Real Estate 
SCP 	Shopping Centres Australasia Property Group 	Real Estate 
SDF 	Steadfast Group 	Financials 
SEK 	Seek 	Communication Services 
SFR 	Sandfire Resources 	Materials 
SGM 	Sims Metal 	Materials 
SGP 	Stockland 	Real Estate 
SGR 	Star Entertainment Group 	Consumer Discretionary 
SHL 	Sonic Healthcare 	Healthcare 
SLR 	Silver Lake Resource 	Materials 
SOL 	Washington H Soul Pattinson 	Energy 
STO 	Santos 	Energy 
SUL 	Super Retail Group 	Consumer Discretionary 
SUN 	Suncorp 	Financials 
SVW 	Seven Group Holdings 	Industrials 
TLX 	Telix Pharmaceuticals 	Healthcare 
TAH 	Tabcorp 	Consumer Discretionary 
TCL 	Transurban 	Industrials 
TLC 	The Lottery Corporation 	Consumer Discretionary 
TLS 	Telstra 	Communication Services 
TNE 	TechnologyOne 	Information Technology 
TPG 	TPG Telecom 	Communication Services 
TWE 	Treasury Wine Estates 	Consumer Staples 
TYR 	Tyro Payments 	Information Technology 
UMG 	United Malt Group 	Consumer Staples 
UWL 	Uniti Group 	Communication Services 
VCX 	Vicinity Centres 	Real Estate 
VEA 	Viva Energy 	Energy 
VUK 	Virgin Money UK plc 	Financials 
WBC 	Westpac 	Financials 
WEB 	Webjet 	Consumer Discretionary 
WES 	Wesfarmers 	Consumer Discretionary 
WHC 	Whitehaven Coal 	Energy 
WOR 	Worley 	Energy 
WOW 	Woolworths 	Consumer Staples 
WDS 	Woodside Energy 	Energy 
WPR 	Waypoint REIT[16] 	Real Estate 
WTC 	Wisetech Global 	Information Technology 
XRO 	Xero 	Information Technology 
ZIP 	Zip 	Financials 
